"","id","lat_dec","lng_dec"
"145","CC-0216-T1-H",19.3485833333333,-99.2163333333333
"146","CC-0706-T1-H",19.3828055555556,-99.2169444444445
"147","CC-0666-T1-H",19.3865277777778,-99.2188888888889
"148","CC-0625-T1-H",19.3212222222222,-99.26025
"149","CC-0679-T1-H",19.3594444444444,-99.2444444444444
"150","CC-0437-T1-H",19.3653055555556,-99.2428888888889
"151","CC-0429-T1-H",19.3248888888889,-99.2575277777778
"152","CC-0491-T1-H",19.3649722222222,-99.2445555555556
"153","CC-0552-T1-H",19.3942222222222,-99.2039166666667
"154","CC-0657-T1-H",19.3695,-99.2235555555556
"155","CC-0654-T1-H",19.3514722222222,-99.2377222222222
"156","CC-0497-T1-H",19.32125,-99.2845
"157","CC-0652-T1-H",19.32625,-99.2709722222222
"158","CC-0600-T1-H",19.3575833333333,-99.2349722222222
"159","CC-0816-T1-H",19.3791388888889,-99.2381944444444
"160","CC-0171-T1-H",19.3656111111111,-99.2021111111111
"161","CC-0199-T1-H",19.3237777777778,-99.2402222222222
"162","CC-0272-T1-H",19.2867777777778,-99.2323611111111
"163","CC-0484-T1-H",19.3337222222222,-99.2328333333333
"164","CC-0094-T1-H",19.3839166666667,-99.2131666666667
"165","CC-0512-T1-H",19.3923888888889,-99.1106666666667
"166","CC-0787-T1-H",19.4061111111111,-99.1985277777778
"167","CC-0285-T1-H",19.3596111111111,-99.2198611111111
"168","CC-0764-T1-H",19.3368333333333,-99.2101944444445
"169","CC-0728-T1-H",19.3758888888889,-99.2331388888889
"170","CC-0741-T1-H",19.3533055555556,-99.2190277777778
"171","CC-0576-T1-H",19.3584166666667,-99.2244166666667
"172","CC-0080-T1-H",19.3354444444444,-99.2174722222222
"173","CC-0596-T1-H",19.3670833333333,-99.2453333333333
"174","CC-0615-T1-H",19.3284722222222,-99.2711666666667
"175","CC-0545-T1-H",19.2665555555556,-99.1158333333333
"176","CC-0095-T1-H",19.3944722222222,-99.2185
"177","CC-0735-T1-H",19.3213333333333,-99.2410555555556
"178","CC-0572-T1-H",19.36025,-99.2179166666667
"179","CC-0346-T1-H",19.3309166666667,-99.2684722222222
"180","CC-0827-T1-H",19.3074166666667,-99.2361388888889
"181","CC-0732-T1-H",19.3166666666667,-99.2255555555556
"182","CC-0368-T1-H",19.3408888888889,-99.1978888888889
"183","CC-0670-T1-H",19.3368333333333,-99.2101944444445
"184","CC-0432-T1-H",19.4413888888889,-99.1079444444444
"185","CC-0486-T1-H",19.3861111111111,-99.2146666666667
"186","CC-0543-T1-H",19.3870555555556,-99.2119166666667
"187","CC-0215-T1-H",19.3702777777778,-99.2334166666667
"188","CC-0767-T1-H",19.3345,-99.2023888888889
"189","CC-0420-T1-H",19.33825,-99.2057777777778
"190","CC-0530-T1-H",19.3605,-99.2394722222222
"191","CC-0236-T1-H",19.3143333333333,-99.22225
"192","CC-0686-T1-H",19.3533888888889,-99.2346944444444
"193","CC-0550-T1-H",19.4054722222222,-99.1985555555556
"194","CC-0723-T1-H",19.3158055555556,-99.2660555555556
"195","CC-0213-T1-H",19.3120555555556,-99.2102222222222
"196","CC-0749-T1-H",19.3592777777778,-99.2116666666667
"197","CC-0695-T1-H",19.3285555555556,-99.2691388888889
"198","CC-0728-T1-H",19.3758888888889,-99.2331388888889
"199","CC-0472-T1-H",19.3523611111111,-99.2469722222222
"200","CC-0418-T1-H",19.3152777777778,-99.1643611111111
"201","CC-0723-T1-H",19.3158055555556,-99.2660555555556
"202","CC-0489-T1-H",19.3470555555556,-99.2221111111111
"203","CC-0470-T1-H",19.3523611111111,-99.2469722222222
"204","CC-0773-T1-H",19.3198611111111,-99.2636388888889
"205","CC-0543-T1-H",19.3870555555556,-99.2119166666667
"206","CC-0763-T1-H",19.3258611111111,-99.2726111111111
"207","CC-0216-T1-H",19.3485833333333,-99.2163333333333
"208","CC-0462-T1-H",19.3797222222222,-98.9799444444444
"209","CC-0812-T1-H",19.3240833333333,-99.2453888888889
