nivel,lat,lng
PREESCOLAR,19.460353,-99.110261
PREESCOLAR,19.325264,-99.223244
PREESCOLAR,19.358091,-99.234315
PREESCOLAR,19.19321,-99.112571
PREESCOLAR,19.448083,-99.167068
INICIAL,19.435543,-99.156564
SECUNDARIA,19.292484,-99.070003
PRIMARIA,19.4829,-99.1135
SECUNDARIA,19.420861,-99.133461
SECUNDARIA,19.434263,-99.090116
PRIMARIA,19.446123,-99.114155
PREESCOLAR,19.262822,-99.169299
SECUNDARIA,19.367837,-98.998312
PREESCOLAR,19.439445,-99.110512
PREESCOLAR,19.363725,-99.125914
PRIMARIA,19.519364,-99.133714
PREESCOLAR,19.386055,-99.20131
PRIMARIA,19.447087,-99.15435
PREESCOLAR,19.378856,-99.220861
PREESCOLAR,19.292557,-99.165546
SECUNDARIA,19.420913,-99.159037
PREESCOLAR,19.36901,-99.119318
PRIMARIA,19.33387,-99.246381
PREESCOLAR,19.423885,-99.204442
PRIMARIA,19.444146,-99.157772
PRIMARIA,19.19097,-99.02541
SECUNDARIA,19.398476,-99.257655
PREESCOLAR,19.431631,-99.166987
PREESCOLAR,19.441641,-99.141483
SECUNDARIA,19.259601,-99.126912
PRIMARIA,19.2883,-99.1671
PRIMARIA,19.457987,-99.205786
PRIMARIA,19.386679,-99.052502
PREESCOLAR,19.395088,-99.174516
PREESCOLAR,19.41588,-99.22056
PREESCOLAR,19.291475,-99.230377
INICIAL,19.361095,-99.154826
PREESCOLAR,19.353502,-99.017347
PREESCOLAR,19.423107,-99.139047
SECUNDARIA,19.53717,-99.142057
PRIMARIA,19.452296,-99.181774
PRIMARIA,19.4829,-99.1135
PRIMARIA,19.299827,-99.054655
PRIMARIA,19.328315,-99.222884
SECUNDARIA,19.333463,-99.129274
PRIMARIA,19.265892,-99.167815
PRIMARIA,19.332774,-99.095307
PRIMARIA,19.368314,-99.142379
PRIMARIA,19.447643,-99.175959
SECUNDARIA,19.386199,-99.097835
SECUNDARIA,19.345655,-99.107095
PRIMARIA,19.491353,-99.10398
PRIMARIA,19.371081,-99.201808
SECUNDARIA,19.336077,-99.078156
PRIMARIA,19.485934,-99.098418
SECUNDARIA,19.4416,-99.1519
SECUNDARIA,19.559942,-99.135921
SECUNDARIA,19.474931,-99.178895
SECUNDARIA,19.241516,-98.993354
PREESCOLAR,19.423114,-99.206432
PRIMARIA,19.363167,-99.087925
SECUNDARIA,19.475253,-99.113821
PRIMARIA,19.498439,-99.093053
PRIMARIA,19.456519,-99.23182
PRIMARIA,19.325086,-99.146304
INICIAL,19.2706,-99.0048
PRIMARIA,19.345657,-99.038062
PRIMARIA,19.533242,-99.139021
PRIMARIA,19.359,-99.0926
PRIMARIA,19.282929,-99.040047
PRIMARIA,19.360881,-99.075891
PRIMARIA,19.305277,-99.167311
PRIMARIA,19.444779,-99.100525
PRIMARIA,19.419489,-99.217928
PRIMARIA,19.332599,-99.121871
PRIMARIA,19.419476,-99.103107
PRIMARIA,19.332021,-99.109064
PREESCOLAR,19.425434,-99.117421
PRIMARIA,19.397866,-99.135171
PRIMARIA,19.453754,-99.101327
SECUNDARIA,19.260593,-99.172535
PRIMARIA,19.377737,-99.015986
PREESCOLAR,19.306609,-99.18534
SECUNDARIA,19.474921,-99.186601
PREESCOLAR,19.307014,-99.052965
INICIAL,19.368554,-99.293401
PRIMARIA,19.407862,-99.187014
PRIMARIA,19.389132,-99.126804
PRIMARIA,19.304699,-99.040809
INICIAL,19.4436,-99.159261
INICIAL,19.404685,-99.202202
PRIMARIA,19.420459,-99.148903
SECUNDARIA,19.4073,-99.1908
PRIMARIA,19.395348,-99.05897
INICIAL,19.387541,-99.047056
PRIMARIA,19.381895,-99.061618
PRIMARIA,19.395956,-99.069777
PRIMARIA,19.325191,-99.049629
SECUNDARIA,19.310192,-99.264996
PRIMARIA,19.396057,-99.151286
PRIMARIA,19.3574,-99.2998
PRIMARIA,19.409879,-99.159834
SECUNDARIA,19.335096,-99.041135
PRIMARIA,19.479207,-99.104075
PRIMARIA,19.475712,-99.128061
INICIAL,19.4829,-99.1135
PREESCOLAR,19.50999,-99.12658
PRIMARIA,19.416298,-99.114056
INICIAL,19.3502,-99.1621
PRIMARIA,19.366376,-99.024687
SECUNDARIA,19.316508,-99.134706
SECUNDARIA,19.441802,-99.192809
SECUNDARIA,19.338156,-99.222235
PREESCOLAR,19.363275,-99.153159
SECUNDARIA,19.45598,-99.060463
PRIMARIA,19.442237,-99.087638
INICIAL,19.442422,-99.160301
PRIMARIA,19.356013,-99.02473
SECUNDARIA,19.367489,-99.150211
SECUNDARIA,19.344806,-99.132196
PRIMARIA,19.246148,-99.091622
INICIAL,19.421264999999998,-99.071711
SECUNDARIA,19.367602,-99.028087
SECUNDARIA,19.458571,-99.065292
INICIAL,19.352123,-99.201126
SECUNDARIA,19.332934,-99.157685
PRIMARIA,19.348406,-98.994633
PRIMARIA,19.317772,-99.134966
SECUNDARIA,19.330428,-99.136448
SECUNDARIA,19.4841,-99.1844
SECUNDARIA,19.29305,-99.060529
PRIMARIA,19.476003,-99.196763
PRIMARIA,19.521196,-99.153186
PRIMARIA,19.392921,-99.182808
INICIAL,19.2635,-99.1049
PREESCOLAR,19.383507,-99.027139
PRIMARIA,19.437473,-99.129219
SECUNDARIA,19.338645,-99.126196
PRIMARIA,19.36386,-99.07058
SECUNDARIA,19.464252,-99.079367
PREESCOLAR,19.372362,-99.170648
PRIMARIA,19.372622,-99.105056
PRIMARIA,19.39684,-99.15011
PRIMARIA,19.405698,-99.187211
SECUNDARIA,19.344612,-99.152048
PRIMARIA,19.313324,-99.256199
PRIMARIA,19.390917,-99.08807
INICIAL,19.372,-99.1579
PRIMARIA,19.315055,-99.163253
PRIMARIA,19.476668,-99.130241
SECUNDARIA,19.36339,-99.06875
PRIMARIA,19.292142,-99.046271
SECUNDARIA,19.38163,-99.2677
PRIMARIA,19.456245,-99.054801
SECUNDARIA,19.392573,-99.117325
PRIMARIA,19.525067,-99.171713
PREESCOLAR,19.414833,-99.128555
INICIAL,19.364514,-99.140448
PRIMARIA,19.328344,-99.044782
PRIMARIA,19.316961,-99.071827
PRIMARIA,19.4416,-99.1519
PRIMARIA,19.353306,-99.295899
PRIMARIA,19.447191,-99.057829
SECUNDARIA,19.381825,-99.218042
PRIMARIA,19.489492,-99.17902
PRIMARIA,19.305853,-99.233819
SECUNDARIA,19.4073,-99.1908
PREESCOLAR,19.330817,-99.14869
PRIMARIA,19.457434,-99.184319
PRIMARIA,19.415265,-99.172724
PRIMARIA,19.415974,-99.158396
PREESCOLAR,19.269711,-99.003101
PRIMARIA,19.454367,-99.200103
SECUNDARIA,19.351935,-99.300758
PRIMARIA,19.359378,-99.11947
PREESCOLAR,19.40247,-99.117362
PRIMARIA,19.195092,-99.026724
PREESCOLAR,19.4416,-99.1519
PREESCOLAR,19.421212,-99.213041
INICIAL,19.408602,-99.166336
INICIAL,19.365411,-99.159275
PREESCOLAR,19.488879,-99.136425
PREESCOLAR,19.486349,-99.104808
PREESCOLAR,19.387177,-99.087438
PRIMARIA,19.291422,-99.218292
PREESCOLAR,19.436673,-99.192106
PREESCOLAR,19.4073,-99.1908
PRIMARIA,19.480456,-99.208046
PRIMARIA,19.368638,-99.035656
PRIMARIA,19.3908,-99.1954
PRIMARIA,19.432,-99.127091
PRIMARIA,19.352981,-99.304234
PREESCOLAR,19.483606,-99.214041
PREESCOLAR,19.329607,-99.119894
PREESCOLAR,19.374939,-99.102713
PRIMARIA,19.346186,-99.200009
PREESCOLAR,19.50999,-99.12658
PRIMARIA,19.419299,-99.224545
PREESCOLAR,19.42136,-99.219646
PRIMARIA,19.225956,-98.951621
PREESCOLAR,19.385852,-99.189567
PREESCOLAR,19.389313,-99.187423
PRIMARIA,19.409278,-99.158167
SECUNDARIA,19.313072,-99.207883
PRIMARIA,19.347787,-98.993008
PREESCOLAR,19.464745,-99.184197
PREESCOLAR,19.398679,-99.206305
PREESCOLAR,19.367628,-99.205094
PREESCOLAR,19.256773,-99.009848
PRIMARIA,19.259587,-99.00819
PREESCOLAR,19.339123,-99.280791
PREESCOLAR,19.4829,-99.1135
PREESCOLAR,19.253965,-99.129828
SECUNDARIA,19.49672,-99.078091
PRIMARIA,19.315347,-99.07936
PREESCOLAR,19.204253,-99.102095
PRIMARIA,19.334002,-99.050055
PREESCOLAR,19.419491,-99.148948
PREESCOLAR,19.412057,-99.0782
PREESCOLAR,19.467316,-99.096936
PRIMARIA,19.475253,-99.113821
PRIMARIA,19.373391,-99.037431
PRIMARIA,19.50023,-99.151435
PRIMARIA,19.380651,-99.183503
PREESCOLAR,19.350789,-99.15451
PREESCOLAR,19.306019,-99.113548
PREESCOLAR,19.355516,-99.123814
PREESCOLAR,19.4841,-99.1844
PREESCOLAR,19.475445,-99.204211
PREESCOLAR,19.477607,-99.190809
PRIMARIA,19.413466,-99.145222
PRIMARIA,19.391612,-99.208378
SECUNDARIA,19.344298,-99.135679
PRIMARIA,19.330913,-99.120457
PRIMARIA,19.561263,-99.140495
PRIMARIA,19.324249,-99.123651
PRIMARIA,19.323208,-99.077664
SECUNDARIA,19.399015,-99.166698
PRIMARIA,19.292451,-99.003911
PRIMARIA,19.44297,-99.190886
PREESCOLAR,19.500993,-99.182705
PRIMARIA,19.502436,-99.092337
PRIMARIA,19.447932,-99.092221
SECUNDARIA,19.297727,-99.111753
INICIAL,19.346212,-99.151411
PRIMARIA,19.422242,-99.217106
PRIMARIA,19.361576,-99.245553
SECUNDARIA,19.415717,-99.107067
SECUNDARIA,19.295612,-99.149346
PRIMARIA,19.255762,-99.126996
SECUNDARIA,19.32404,-99.063421
PRIMARIA,19.359,-99.0926
SECUNDARIA,19.366233,-99.227111
PRIMARIA,19.37492,-99.185686
PRIMARIA,19.346353,-99.042789
SECUNDARIA,19.38913,-99.166847
PRIMARIA,19.274832,-99.222528
PREESCOLAR,19.384063,-99.149411
SECUNDARIA,19.282827,-99.056238
PRIMARIA,19.345212,-99.012774
SECUNDARIA,19.370077,-99.007013
SECUNDARIA,19.479591,-99.158186
SECUNDARIA,19.293354,-99.117517
PRIMARIA,19.500742,-99.08599
PRIMARIA,19.349974,-99.065755
PRIMARIA,19.201215,-99.049381
PRIMARIA,19.431628,-99.097989
SECUNDARIA,19.396751,-99.150005
PRIMARIA,19.4416,-99.1519
SECUNDARIA,19.439437,-99.157165
PRIMARIA,19.454366,-99.192384
PRIMARIA,19.463039,-99.108918
PRIMARIA,19.438135,-99.121918
PRIMARIA,19.186927,-99.073544
PRIMARIA,19.336231,-99.084893
SECUNDARIA,19.466823,-99.063151
PRIMARIA,19.388331,-99.208032
PRIMARIA,19.52368,-99.138451
PRIMARIA,19.358704,-99.182359
SECUNDARIA,19.4416,-99.1519
PRIMARIA,19.388413,-99.155368
SECUNDARIA,19.342343,-99.005968
PRIMARIA,19.353258,-99.297869
SECUNDARIA,19.501357,-99.117159
PRIMARIA,19.313804,-99.134292
PRIMARIA,19.29626,-99.04753
PRIMARIA,19.434091,-99.098529
PREESCOLAR,19.439858,-99.175787
PRIMARIA,19.327035,-99.079597
PRIMARIA,19.37063,-99.027324
PREESCOLAR,19.412091,-99.091356
PRIMARIA,19.371242,-99.219663
SECUNDARIA,19.18338,-99.027157
SECUNDARIA,19.50415,-99.087521
PRIMARIA,19.254898,-99.011799
SECUNDARIA,19.390119,-99.063077
PRIMARIA,19.497383,-99.076692
PRIMARIA,19.491752,-99.149537
PRIMARIA,19.474603,-99.176765
PRIMARIA,19.460747,-99.063431
PRIMARIA,19.318069,-99.161763
PRIMARIA,19.27472,-99.171679
PREESCOLAR,19.400578,-99.131675
PRIMARIA,19.335674,-99.147982
PRIMARIA,19.43932,-99.132609
PRIMARIA,19.297387,-99.245204
PRIMARIA,19.294573,-99.103981
PRIMARIA,19.213712,-99.189961
SECUNDARIA,19.439114,-99.136727
PREESCOLAR,19.433346,-99.159832
SECUNDARIA,19.317039,-99.239419
SECUNDARIA,19.293725,-98.995901
SECUNDARIA,19.528325,-99.165819
PRIMARIA,19.350038,-98.997372
SECUNDARIA,19.297067,-99.129404
PRIMARIA,19.499085,-99.114144
PRIMARIA,19.3908,-99.1954
SECUNDARIA,19.325209,-99.167959
SECUNDARIA,19.484445,-99.200129
SECUNDARIA,19.294309,-99.24157
PREESCOLAR,19.391192,-99.196211
PRIMARIA,19.297387,-99.245204
SECUNDARIA,19.362719,-99.016975
SECUNDARIA,19.389827,-99.082145
PRIMARIA,19.288502,-99.218801
PRIMARIA,19.349633999999998,-99.082475
PRIMARIA,19.537753,-99.14187
PRIMARIA,19.356037,-99.166496
SECUNDARIA,19.360744,-99.14122
INICIAL,19.29731,-99.054472
PRIMARIA,19.390335,-99.138881
SECUNDARIA,19.428615,-99.119629
PRIMARIA,19.284581,-99.225892
PRIMARIA,19.2883,-99.1671
SECUNDARIA,19.355533,-99.034722
INICIAL,19.394777,-99.16058
PRIMARIA,19.352391,-99.096443
SECUNDARIA,19.496761,-99.12857
INICIAL,19.4416,-99.1519
PRIMARIA,19.342885,-99.10574
INICIAL,19.423107,-99.139047
PRIMARIA,19.392391,-99.18434
PRIMARIA,19.271825,-99.177294
PREESCOLAR,19.357652,-99.243722
PREESCOLAR,19.487728,-99.106452
PREESCOLAR,19.3944,-99.1037
PREESCOLAR,19.51822,-99.159524
PREESCOLAR,19.354255,-99.073903
SECUNDARIA,19.305321,-99.241193
PRIMARIA,19.379124,-99.192752
PRIMARIA,19.357149,-99.200286
SECUNDARIA,19.372,-99.1579
SECUNDARIA,19.377604,-99.198864
PREESCOLAR,19.313332,-99.132688
PREESCOLAR,19.557917,-99.134858
PREESCOLAR,19.32882,-99.08761
SECUNDARIA,19.4073,-99.1908
SECUNDARIA,19.425498,-99.066498
SECUNDARIA,19.241516,-98.993354
SECUNDARIA,19.320135,-99.127063
SECUNDARIA,19.482054,-99.203922
INICIAL,19.423114,-99.206432
PRIMARIA,19.462353,-99.139717
SECUNDARIA,19.3049,-99.2415
SECUNDARIA,19.516239,-99.132044
SECUNDARIA,19.368893,-99.038823
PREESCOLAR,19.456236,-99.104498
PRIMARIA,19.3959,-99.0976
PREESCOLAR,19.480355,-99.078456
PREESCOLAR,19.391446,-99.118936
PREESCOLAR,19.417983,-99.056865
PREESCOLAR,19.372183,-99.021824
PRIMARIA,19.35912,-99.118389
PREESCOLAR,19.329343,-99.122216
PREESCOLAR,19.525947,-99.144982
PREESCOLAR,19.4829,-99.1135
PREESCOLAR,19.474505,-99.08408
PREESCOLAR,19.335948,-99.153522
PREESCOLAR,19.318514,-99.169941
PREESCOLAR,19.487058,-99.117799
PRIMARIA,19.367011,-99.001665
PRIMARIA,19.40569,-99.129957
PRIMARIA,19.450731,-99.057758
PRIMARIA,19.196689,-99.141852
PRIMARIA,19.347487,-99.056781
PREESCOLAR,19.494926,-99.097032
PREESCOLAR,19.391739,-99.131596
PREESCOLAR,19.399397,-99.064441
PREESCOLAR,19.532322,-99.138791
PREESCOLAR,19.463891,-99.122387
PRIMARIA,19.382502,-99.118697
SECUNDARIA,19.32882,-99.079697
SECUNDARIA,19.363727,-99.121751
PRIMARIA,19.382468,-99.052375
PRIMARIA,19.361791,-99.163302
SECUNDARIA,19.418148,-99.131755
PRIMARIA,19.38254,-99.255233
PRIMARIA,19.41461,-99.058532
PRIMARIA,19.382756,-99.15533
PRIMARIA,19.48455,-99.071142
PRIMARIA,19.376426,-99.070775
PRIMARIA,19.312338,-99.254645
PRIMARIA,19.348887,-99.044785
PRIMARIA,19.356983,-99.016045
PRIMARIA,19.519364,-99.133714
PRIMARIA,19.39573,-99.049903
PREESCOLAR,19.408997,-99.126115
PRIMARIA,19.372,-99.1579
PRIMARIA,19.34997,-99.114085
PREESCOLAR,19.462303,-99.139729
SECUNDARIA,19.366636,-99.122013
SECUNDARIA,19.485497,-99.097797
SECUNDARIA,19.337322,-99.19881
PREESCOLAR,19.312595,-99.257962
SECUNDARIA,19.327818,-99.044066
INICIAL,19.440445,-99.146023
SECUNDARIA,19.408042,-99.13463
PRIMARIA,19.384427,-99.161902
PREESCOLAR,19.424443,-99.1436
SECUNDARIA,19.513369,-99.131918
PRIMARIA,19.3908,-99.1954
PRIMARIA,19.3908,-99.1954
INICIAL,19.359,-99.0926
SECUNDARIA,19.530537,-99.147369
PRIMARIA,19.238419,-98.998279
INICIAL,19.4829,-99.1135
INICIAL,19.345054,-99.284086
SECUNDARIA,19.392857,-99.182726
PRIMARIA,19.386733,-99.056763
PREESCOLAR,19.395025,-99.18657
PRIMARIA,19.509779,-99.202223
INICIAL,19.492211,-99.135327
PRIMARIA,19.369452,-99.06774
PRIMARIA,19.280075,-99.164365
PRIMARIA,19.297298,-99.036406
PRIMARIA,19.347485,-99.300323
PREESCOLAR,19.495556,-99.180573
PRIMARIA,19.485493,-99.113553
PRIMARIA,19.548569,-99.15283
PRIMARIA,19.358614,-99.093829
INICIAL,19.43147,-99.119605
PRIMARIA,19.307681,-99.108535
PRIMARIA,19.29297,-99.115031
PRIMARIA,19.317149,-99.109874
PREESCOLAR,19.311478,-99.15339
PRIMARIA,19.384478,-99.169273
INICIAL,19.294485,-99.160112
PRIMARIA,19.366303,-98.993734
PRIMARIA,19.4073,-99.1908
PRIMARIA,19.340713,-99.068132
SECUNDARIA,19.451988,-99.141917
PRIMARIA,19.285252,-98.995809
SECUNDARIA,19.343035,-99.244339
PRIMARIA,19.3474,-99.247889
PRIMARIA,19.297451,-99.140114
PRIMARIA,19.355699,-99.29169
PRIMARIA,19.438393,-99.159389
PRIMARIA,19.356458,-99.266362
PRIMARIA,19.334002,-99.050055
PRIMARIA,19.404315,-99.14983
PRIMARIA,19.45266,-99.20925
SECUNDARIA,19.288062,-99.180618
PRIMARIA,19.376035,-99.104537
PRIMARIA,19.467248,-99.137851
PRIMARIA,19.327927,-99.064794
SECUNDARIA,19.354786,-99.295764
PREESCOLAR,19.326263,-99.1408
SECUNDARIA,19.245194,-99.02017
PRIMARIA,19.474413,-99.068614
PRIMARIA,19.389065,-99.258513
PRIMARIA,19.383064,-99.113894
PRIMARIA,19.24612,-99.092998
PRIMARIA,19.348159,-99.147885
PRIMARIA,19.2883,-99.1671
SECUNDARIA,19.373913,-99.185761
SECUNDARIA,19.333902,-99.05112
INICIAL,19.312222,-99.081968
PRIMARIA,19.37545,-99.193422
PREESCOLAR,19.391445,-99.183756
SECUNDARIA,19.483025,-99.183476
PRIMARIA,19.312293,-99.038052
PRIMARIA,19.322494,-99.115661
PRIMARIA,19.327824,-99.023783
PRIMARIA,19.355419,-99.024135
PRIMARIA,19.28679,-99.03689
PRIMARIA,19.34654,-99.081384
PRIMARIA,19.474608,-99.065923
PRIMARIA,19.500095,-99.115392
PRIMARIA,19.401451,-99.199525
PRIMARIA,19.370532,-99.07643
PRIMARIA,19.375594,-99.151613
SECUNDARIA,19.3502,-99.1621
PRIMARIA,19.321078,-99.062443
PREESCOLAR,19.217059,-98.990227
PREESCOLAR,19.408792,-99.122092
PREESCOLAR,19.366699,-99.176186
PRIMARIA,19.497449,-99.075865
PREESCOLAR,19.379648,-99.204763
PRIMARIA,19.440703,-99.119544
SECUNDARIA,19.359,-99.0926
PRIMARIA,19.310914,-99.04735
PREESCOLAR,19.404685,-99.202202
SECUNDARIA,19.276654,-99.21192
SECUNDARIA,19.549734,-99.126157
PRIMARIA,19.447163,-99.114205
PRIMARIA,19.411413,-99.057176
SECUNDARIA,19.446687,-99.1605
INICIAL,19.373352,-99.288568
PRIMARIA,19.359685,-99.16684
SECUNDARIA,19.350801,-99.067421
SECUNDARIA,19.473917,-99.188405
PRIMARIA,19.357296,-99.229026
PRIMARIA,19.385625,-99.183469
PREESCOLAR,19.43227,-99.193305
SECUNDARIA,19.357531,-99.296878
PRIMARIA,19.372704,-99.026567
INICIAL,19.440147,-99.147215
SECUNDARIA,19.310625,-99.239445
SECUNDARIA,19.505304,-99.126056
INICIAL,19.405138,-99.145097
PRIMARIA,19.310422,-99.245564
SECUNDARIA,19.448911,-99.21055
SECUNDARIA,19.361977,-99.300779
PRIMARIA,19.370558,-99.075963
PRIMARIA,19.50766,-99.099772
SECUNDARIA,19.465151,-99.173548
PRIMARIA,19.194425,-99.095385
PRIMARIA,19.432946,-99.093872
SECUNDARIA,19.495339,-99.210854
PREESCOLAR,19.548221,-99.143978
PRIMARIA,19.263457,-99.003209
PRIMARIA,19.2635,-99.1049
PRIMARIA,19.356557,-99.081677
PRIMARIA,19.401978,-99.158391
PRIMARIA,19.457027,-99.142284
SECUNDARIA,19.472831,-99.06475
PREESCOLAR,19.301344,-99.147841
PRIMARIA,19.444179,-99.205706
SECUNDARIA,19.546723,-99.124474
SECUNDARIA,19.292301,-99.114151
PRIMARIA,19.377919,-99.197371
PRIMARIA,19.42154,-99.086777
PRIMARIA,19.38702,-99.10904
PRIMARIA,19.482129,-99.115705
SECUNDARIA,19.370957,-99.184648
PRIMARIA,19.187855,-99.075159
PRIMARIA,19.485366,-99.07214
PREESCOLAR,19.493168,-99.150265
PRIMARIA,19.373194,-99.2881
SECUNDARIA,19.35951,-99.095527
PRIMARIA,19.520183,-99.13785
PREESCOLAR,19.456386,-99.147928
PRIMARIA,19.4073,-99.1908
PRIMARIA,19.37949,-99.173169
PRIMARIA,19.4829,-99.1135
SECUNDARIA,19.370776,-99.067483
PRIMARIA,19.29626,-99.13116
PRIMARIA,19.3908,-99.1954
PRIMARIA,19.2706,-99.0048
PRIMARIA,19.359,-99.0926
PRIMARIA,19.457767,-99.200824
SECUNDARIA,19.4073,-99.1908
PRIMARIA,19.474783,-99.154266
PRIMARIA,19.350026,-99.300381
PRIMARIA,19.379229,-99.069964
PREESCOLAR,19.4829,-99.1135
SECUNDARIA,19.444475,-99.101637
PRIMARIA,19.46605,-99.159481
SECUNDARIA,19.278148,-99.235081
PREESCOLAR,19.383307,-99.131054
PRIMARIA,19.305471,-99.221569
PRIMARIA,19.321288,-99.121399
INICIAL,19.451228,-99.14078
INICIAL,19.511904,-99.147894
PRIMARIA,19.444832,-99.145946
PRIMARIA,19.485683,-99.195026
PRIMARIA,19.496797,-99.128549
PRIMARIA,19.36819,-99.027478
SECUNDARIA,19.4829,-99.1135
SECUNDARIA,19.395624,-99.165153
SECUNDARIA,19.441855,-99.175694
PRIMARIA,19.392747,-99.043347
PRIMARIA,19.377462,-99.070616
PRIMARIA,19.423492,-99.056535
PREESCOLAR,19.368264,-99.24408
PRIMARIA,19.487558,-99.19097
PRIMARIA,19.553376,-99.13656
PRIMARIA,19.412935,-99.102011
SECUNDARIA,19.37142,-99.291359
PRIMARIA,19.370115,-99.204856
PREESCOLAR,19.489289,-99.128134
PRIMARIA,19.346251,-99.024246
PRIMARIA,19.355206,-99.193402
PREESCOLAR,19.440445,-99.146023
PREESCOLAR,19.336894,-99.153497
SECUNDARIA,19.378102,-99.185342
PREESCOLAR,19.451842,-99.11072
PRIMARIA,19.450585,-99.185833
SECUNDARIA,19.255762,-99.126996
INICIAL,19.368264,-99.24408
PREESCOLAR,19.413861,-99.078164
PRIMARIA,19.19297,-99.01237
PRIMARIA,19.32973,-99.03403
SECUNDARIA,19.340375,-99.145939
SECUNDARIA,19.487544,-99.083576
SECUNDARIA,19.564307,-99.138639
PRIMARIA,19.442295,-99.210059
PRIMARIA,19.361564,-99.114467
PRIMARIA,19.456448,-99.132987
SECUNDARIA,19.36729,-99.169018
PRIMARIA,19.333906,-99.152615
PRIMARIA,19.481658,-99.120637
PRIMARIA,19.489579,-99.091026
PRIMARIA,19.460013,-99.10474
PREESCOLAR,19.496854,-99.185764
SECUNDARIA,19.367844,-99.079475
PRIMARIA,19.3502,-99.1621
PRIMARIA,19.31308,-98.964101
SECUNDARIA,19.331668,-99.022635
